Mod:Item:MetaData, Localized Name
StorageDrawersNatura:halfDrawers4:7, Compact Silverbell Drawers 2x2
StorageDrawersNatura:halfDrawers4:8, Compact Amaranth Drawers 2x2
StorageDrawersNatura:halfDrawers4:9, Compact Tigerwood Drawers 2x2
StorageDrawersNatura:halfDrawers4:10, Compact Willow Drawers 2x2
StorageDrawersNatura:halfDrawers4:11, Compact Darkwood Drawers 2x2
StorageDrawersNatura:halfDrawers4:12, Compact Fusewood Drawers 2x2
StorageDrawersNatura:trim:0, Eucalyptus Trim
StorageDrawersNatura:trim:1, Sakura Trim
StorageDrawersNatura:trim:2, Ghostwood Trim
StorageDrawersNatura:trim:3, Redwood Trim
StorageDrawersNatura:trim:4, Blood Trim
StorageDrawersNatura:trim:5, Hopseed Trim
StorageDrawersNatura:trim:6, Maple Trim
StorageDrawersNatura:trim:7, Silverbell Trim
StorageDrawersNatura:trim:8, Amaranth Trim
StorageDrawersNatura:trim:9, Tigerwood Trim
StorageDrawersNatura:trim:10, Willow Trim
StorageDrawersNatura:trim:11, Darkwood Trim
StorageDrawersNatura:trim:12, Fusewood Trim
TaintedMagic:BlockWarpwoodLog, Warpwood Log
TaintedMagic:BlockWarpwoodPlanks, Warpwood Planks
TaintedMagic:BlockWarpwoodLeaves, Warped Leaves
TaintedMagic:BlockWarpwoodSapling, Warpwood Sapling
TaintedMagic:BlockNightshadeBush, Atropa Belladonna
TaintedMagic:BlockLumos, Lumos
thaumicbases:quicksilverBlock, Block of Quicksilver
thaumicbases:quicksilverBrick, Quicksilver Brick
thaumicbases:crystalBlock:0, Air Crystal Block
thaumicbases:crystalBlock:1, Fire Crystal Block
thaumicbases:crystalBlock:2, Water Crystal Block
thaumicbases:crystalBlock:3, Earth Crystal Block
thaumicbases:crystalBlock:4, Order Crystal Block
thaumicbases:crystalBlock:5, Entropy Crystal Block
thaumicbases:crystalBlock:6, Mixed Crystal Block
thaumicbases:crystalBlock:7, Tainted Crystal Block
thaumicbases:blockSalisMundus, Salis Mundus Block
thaumicbases:thauminiteBlock, Block of Thauminite
thaumicbases:pyrofluid:0, Pyrofluid
thaumicbases:pyrofluid:1, Pyrofluid
thaumicbases:pyrofluid:2, Pyrofluid
thaumicbases:pyrofluid:3, Pyrofluid
thaumicbases:pyrofluid:4, Pyrofluid
thaumicbases:pyrofluid:5, Pyrofluid
thaumicbases:pyrofluid:6, Pyrofluid
thaumicbases:pyrofluid:7, Pyrofluid
thaumicbases:pyrofluid:15, Pyrofluid
thaumicbases:eldritchArk, Gold Etched Obsidian
thaumicbases:ironGreatwood, Iron Framed Greatwood
thaumicbases:plax, Plax Crop
thaumicbases:aureliaPetal, Aurelia Petal
thaumicbases:aurelia, Aurelia
thaumicbases:metalleat, Metalleat Crop
thaumicbases:lucrite, Lucrite Crop
thaumicbases:knose, Rosa Mysteria
thaumicbases:sweed, Sweed Crop
thaumicbases:lazullia, Lazullia Crop
thaumicbases:rainbowCactus, Rainbow Cacti
thaumicbases:redlonStem, Redlon Stem
thaumicbases:ashroom, Primal Shroom
thaumicbases:flaxium, Fluxium
thaumicbases:glieonia, Glieonia Crop
thaumicbases:briar, Briar
thaumicbases:tobacco, Tobacco Crop
thaumicbases:voidPlant, Void Crop
thaumicbases:spike:0, Iron Spikes
thaumicbases:spike:2, Thaumic Spikes
thaumicbases:spike:4, Void Spikes
thaumicbases:overchanter, Overchanting Table
thaumicbases:goldenOakSapling:0, Golden Oak Sapling
thaumicbases:goldenOakSapling:1, Peaceful Sapling
thaumicbases:goldenOakSapling:2, Nether Sapling
thaumicbases:goldenOakSapling:3, Ender Sapling
thaumicbases:genLeaves:0, Golden Oak Leaves
thaumicbases:genLeaves:1, Peaceful Leaves
thaumicbases:genLeaves:2, Nether Leaves
thaumicbases:genLeaves:3, Ender Leaves
thaumicbases:cryingObsidian, Crying Obsidian
abyssalcraft:devsword, The Dev Blade
abyssalcraft:OC, Oblivion Catalyst
abyssalcraft:portalplacer, Gateway Key
abyssalcraft:staff, Staff of The Gatekeeper
abyssalcraft:cbucket, Liquid Coralium Bucket
abyssalcraft:psdlfinder, Powerstone Tracker
abyssalcraft:eoa, Eye of The Abyss
abyssalcraft:portalplacerdl, Asorah's Dreaded Gateway Key
abyssalcraft:dreadshard, Dreaded Shard of Abyssalnite
abyssalcraft:dreadchunk, Dreaded Chunk of Abyssalnite
abyssalcraft:abychunk, Chunk of Abyssalnite
abyssalcraft:abyingot, Abyssalnite Ingot
abyssalcraft:coralium, Coralium Gem
abyssalcraft:ccluster2, Coralium Gem Cluster
abyssalcraft:ccluster3, Coralium Gem Cluster
abyssalcraft:ccluster4, Coralium Gem Cluster
abyssalcraft:ccluster5, Coralium Gem Cluster
abyssalcraft:ccluster6, Coralium Gem Cluster
abyssalcraft:ccluster7, Coralium Gem Cluster
abyssalcraft:ccluster8, Coralium Gem Cluster
abyssalcraft:ccluster9, Coralium Gem Cluster
abyssalcraft:cpearl, Coralium Pearl
abyssalcraft:cchunk, Chunk of Coralium
abyssalcraft:cingot, Refined Coralium Ingot
abyssalcraft:platec, Coralium Plate
abyssalcraft:corb, Transmutation Gem
abyssalcraft:corflesh, Coralium plagued flesh
abyssalcraft:corbone, Coralium plagued flesh on a bone
abyssalcraft:dpick, Darkstone Pickaxe
abyssalcraft:daxe, Darkstone Axe
abyssalcraft:dshovel, Darkstone Shovel
abyssalcraft:dsword, Darkstone Sword
abyssalcraft:dhoe, Darkstone Hoe
abyssalcraft:apick, Abyssalnite Pickaxe
abyssalcraft:aaxe, Abyssalnite Axe
abyssalcraft:ashovel, Abyssalnite Shovel
abyssalcraft:asword, Abyssalnite Sword
abyssalcraft:ahoe, Abyssalnite Hoe
abyssalcraft:corpick, Refined Coralium Pickaxe
abyssalcraft:coraxe, Refined Coralium Axe
abyssalcraft:corshovel, Refined Coralium Shovel
abyssalcraft:corsword, Refined Coralium Sword
abyssalcraft:corhoe, Refined Coralium Hoe
abyssalcraft:aboots, Abyssalnite Boots
abyssalcraft:ahelmet, Abyssalnite Helmet
abyssalcraft:aplate, Abyssalnite Chestplate
abyssalcraft:alegs, Abyssalnite Leggings
abyssalcraft:dboots, Dreaded Abyssalnite Boots
abyssalcraft:dhelmet, Dreaded Abyssalnite Helmet
abyssalcraft:dplate, Dreaded Abyssalnite Chestplate
abyssalcraft:dlegs, Dreaded Abyssalnite Leggings
abyssalcraft:corboots, Refined Coralium Boots
abyssalcraft:corhelmet, Refined Coralium Helmet
abyssalcraft:corplate, Refined Coralium Chestplate
abyssalcraft:corlegs, Refined Coralium Leggings
abyssalcraft:corbootsp, Plated Coralium Boots
abyssalcraft:corhelmetp, Plated Coralium Helmet
abyssalcraft:corplatep, Plated Coralium Chestplate
abyssalcraft:corlegsp, Plated Coralium Leggings
abyssalcraft:depthsboots, Boots of The Depths
abyssalcraft:depthshelmet, Visage of The Depths
abyssalcraft:depthsplate, Chestplate of The Depths
abyssalcraft:depthslegs, Legguards of The Depths
abyssalcraft:cobbleu, Cobblestone Upgrade Kit
abyssalcraft:ironu, Iron Upgrade Kit
abyssalcraft:goldu, Gold Upgrade Kit
abyssalcraft:diamondu, Diamond Upgrade Kit
abyssalcraft:abyssalniteu, Abyssalnite Upgrade Kit
abyssalcraft:coraliumu, Coralium Upgrade Kit
abyssalcraft:mre, MRE
abyssalcraft:ironp, Iron Plate
abyssalcraft:chickenp, Chicken on A Plate
abyssalcraft:porkp, Porkchop on A Plate
abyssalcraft:beefp, Beef on A Plate
abyssalcraft:fishp, Fish on A Plate
abyssalcraft:dirtyplate, Dirty Plate
abyssalcraft:friedegg, Fried Egg
abyssalcraft:eggp, Fried Egg on A Plate
abyssalcraft:cloth, Washcloth
abyssalcraft:shadowfragment, Shadow Fragment
abyssalcraft:shadowshard, Shadow Gem Shard
abyssalcraft:shadowgem, Shadow Gem
abyssalcraft:oblivionshard, Shard of Oblivion
abyssalcraft:corbow, Coralium Longbow
abyssalcraft:antibucket, Liquid Antimatter Bucket
abyssalcraft:cbrick, Coralium Brick
abyssalcraft:cudgel, Cudgel
abyssalcraft:dreadumingot, Dreadium Ingot
abyssalcraft:dreadfragment, Dread Fragment
abyssalcraft:dreadiumboots, Dreadium Boots
abyssalcraft:dreadiumhelmet, Dreadium Helmet
abyssalcraft:dreadiumplate, Dreadium Chestplate
abyssalcraft:dreadiumlegs, Dreadium Leggings
abyssalcraft:dreadiumpickaxe, Dreadium Pickaxe
abyssalcraft:dreadiumaxe, Dreadium Axe
abyssalcraft:dreadiumshovel, Dreadium Shovel
abyssalcraft:dreadiumsword, Dreadium Sword
abyssalcraft:dreadiumhoe, Dreadium Hoe
abyssalcraft:dreadiumu, Dreadium Upgrade Kit
abyssalcraft:carboncluster, Carbon Cluster
abyssalcraft:densecarboncluster, Dense Carbon Cluster
abyssalcraft:methane, Methane
abyssalcraft:nitre, Nitre
abyssalcraft:sulfur, Sulfur
abyssalcraft:crystal:0, Crystallized Iron
abyssalcraft:crystal:1, Crystallized Gold
abyssalcraft:crystal:2, Crystallized Sulfur
abyssalcraft:crystal:3, Crystallized Carbon
abyssalcraft:crystal:4, Crystallized Oxygen
abyssalcraft:crystal:5, Crystallized Hydrogen
abyssalcraft:crystal:6, Crystallized Nitrogen
abyssalcraft:crystal:7, Crystallized Phosphorus
abyssalcraft:crystal:8, Crystallized Potassium
abyssalcraft:crystal:9, Crystallized Nitrate
abyssalcraft:crystal:10, Crystallized Methane
abyssalcraft:crystal:11, Crystallized Redstone
abyssalcraft:crystal:12, Crystallized Abyssalnite
abyssalcraft:crystal:13, Crystallized Coralium
abyssalcraft:crystal:14, Crystallized Dreadium
abyssalcraft:crystal:15, Crystallized Blaze
abyssalcraft:crystal:16, Crystallized Tin
abyssalcraft:crystal:17, Crystallized Copper
abyssalcraft:crystal:18, Crystallized Silicon
abyssalcraft:crystal:19, Crystallized Magnesium
abyssalcraft:crystal:20, Crystallized Aluminium
abyssalcraft:crystal:21, Crystallized Silica
abyssalcraft:crystal:22, Crystallized Alumina
abyssalcraft:crystal:23, Crystallized Magnesia
abyssalcraft:crystal:24, Crystallized Zinc
abyssalcraft:crystalshard:0, Crystallized Iron Shard
abyssalcraft:crystalshard:1, Crystallized Gold Shard
abyssalcraft:crystalshard:2, Crystallized Sulfur Shard
abyssalcraft:crystalshard:3, Crystallized Carbon Shard
abyssalcraft:crystalshard:4, Crystallized Oxygen Shard
abyssalcraft:crystalshard:5, Crystallized Hydrogen Shard
abyssalcraft:crystalshard:6, Crystallized Nitrogen Shard
abyssalcraft:crystalshard:7, Crystallized Phosphorus Shard
abyssalcraft:crystalshard:8, Crystallized Potassium Shard
abyssalcraft:crystalshard:9, Crystallized Nitrate Shard
abyssalcraft:crystalshard:10, Crystallized Methane Shard
abyssalcraft:crystalshard:11, Crystallized Redstone Shard
abyssalcraft:crystalshard:12, Crystallized Abyssalnite Shard
abyssalcraft:crystalshard:13, Crystallized Coralium Shard
abyssalcraft:crystalshard:14, Crystallized Dreadium Shard
abyssalcraft:crystalshard:15, Crystallized Blaze Shard
abyssalcraft:crystalshard:16, Crystallized Tin Shard
abyssalcraft:crystalshard:17, Crystallized Copper Shard
abyssalcraft:crystalshard:18, Crystallized Silicon Shard
abyssalcraft:crystalshard:19, Crystallized Magnesium Shard
abyssalcraft:crystalshard:20, Crystallized Aluminium Shard
abyssalcraft:crystalshard:21, Crystallized Silica Shard
abyssalcraft:crystalshard:22, Crystallized Alumina Shard
abyssalcraft:crystalshard:23, Crystallized Magnesia Shard
abyssalcraft:crystalshard:24, Crystallized Zinc Shard
abyssalcraft:dreadcloth, Dread Cloth
abyssalcraft:dreadplate, Dreadium Plate
abyssalcraft:dreadblade, Dreadium Katana Blade
abyssalcraft:dreadhilt, Dreadium Katana Hilt
abyssalcraft:dreadkatana, Dreadium Katana
abyssalcraft:dreadkey, Dread-plagued Gateway Key
abyssalcraft:portalplacerjzh, Cha'garoth's R'lyehian Gateway Key
abyssalcraft:dreadiumsamuraiboots, Dreadium Samurai Boots
abyssalcraft:dreadiumsamuraihelmet, Dreadium Samurai Helmet
abyssalcraft:dreadiumsamuraiplate, Dreadium Samurai Chestplate
abyssalcraft:dreadiumsamurailegs, Dreadium Samurai Leggings
abyssalcraft:tingingot, Tin Ingot
abyssalcraft:copperingot, Copper Ingot
abyssalcraft:antibeef, Anti-Beef
abyssalcraft:antichicken, Anti-Chicken
abyssalcraft:antipork, Anti-Pork
abyssalcraft:antiflesh, Rotten Anti-Flesh
abyssalcraft:antibone, Anti-Bone
abyssalcraft:antispidereye, Anti-Spider Eye
abyssalcraft:soulreaper, Sacthoth's Soul Reaper Blade
abyssalcraft:ethbrick, Ethaxium Brick
abyssalcraft:ethaxiumingot, Ethaxium Ingot
abyssalcraft:lifecrystal, Life Crystal
abyssalcraft:ethaxiumboots, Ethaxium Boots
abyssalcraft:ethaxiumhelmet, Ethaxium Helmet
abyssalcraft:ethaxiumplate, Ethaxium Chestplate
abyssalcraft:ethaxiumlegs, Ethaxium Leggings
abyssalcraft:ethaxiumpickaxe, Ethaxium Pickaxe
abyssalcraft:ethaxiumaxe, Ethaxium Axe
abyssalcraft:ethaxiumshovel, Ethaxium Shovel
abyssalcraft:ethaxiumsword, Ethaxium Sword
abyssalcraft:ethaxiumhoe, Ethaxium Hoe
abyssalcraft:ethaxiumu, Ethaxium Upgrade Kit
abyssalcraft:coin, Coin
abyssalcraft:cthulhucoin, Cthulhu Engraved Coin
abyssalcraft:eldercoin, Elder Engraved Coin
abyssalcraft:jzaharcoin, J'zahar Engraved Coin
abyssalcraft:engraving_blank, Blank Coin Engraving
abyssalcraft:engraving_cthulhu, Cthulhu Coin Engraving
abyssalcraft:engraving_elder, Elder Coin Engraving
abyssalcraft:engraving_jzahar, J'zahar Coin Engraving
abyssalcraft:eldritchscale, Eldritch Scale
abyssalcraft:omotholflesh, Omothol Ghoul Flesh
abyssalcraft:anticorflesh, Anti-plagued Flesh
abyssalcraft:anticorbone, Anti-plagued Flesh on A Bone
abyssalcraft:necronomicon, Necronomicon
abyssalcraft:necronomicon_cor, Abyssal Wasteland Necronomicon
abyssalcraft:necronomicon_dre, Dreadlands Necronomicon
abyssalcraft:necronomicon_omt, Omothol Necronomicon
abyssalcraft:abyssalnomicon, Abyssalnomicon
abyssalcraft:crystalbag_small, Small Crystal Bag
abyssalcraft:crystalbag_medium, Medium Crystal Bag
abyssalcraft:crystalbag_large, Large Crystal Bag
abyssalcraft:crystalbag_huge, Huge Crystal Bag
abyssalcraft:shoggothflesh:0, Shoggoth Flesh
abyssalcraft:shoggothflesh:1, Abyssal Shoggoth Flesh
abyssalcraft:shoggothflesh:2, Dreaded Shoggoth Flesh
abyssalcraft:shoggothflesh:3, Omothol Shoggoth Flesh
abyssalcraft:shoggothflesh:4, Shadow Shoggoth Flesh
abyssalcraft:ingotnugget:0, Abyssalnite Nugget
abyssalcraft:ingotnugget:1, Refined Coralium Nugget
abyssalcraft:ingotnugget:2, Dreadium Nugget
abyssalcraft:ingotnugget:3, Ethaxium Nugget
abyssalcraft:drainstaff, Staff of Rending
abyssalcraft:essence:0, Abyssal Wasteland Essence
abyssalcraft:essence:1, Dreadlands Essence
abyssalcraft:essence:2, Omothol Essence
abyssalcraft:skin:0, Skin of The Abyssal Wasteland
abyssalcraft:skin:1, Skin of The Dreadlands
abyssalcraft:skin:2, Skin of Omothol
abyssalcraft:charm:0, Ritual Charm
abyssalcraft:charm:1, Ritual Charm
abyssalcraft:charm:2, Ritual Charm
abyssalcraft:charm:3, Ritual Charm
abyssalcraft:cthulhucharm:0, Cthulhu Charm
abyssalcraft:cthulhucharm:1, Cthulhu Charm
abyssalcraft:cthulhucharm:2, Cthulhu Charm
abyssalcraft:cthulhucharm:3, Cthulhu Charm
abyssalcraft:hasturcharm:0, Hastur Charm
abyssalcraft:hasturcharm:1, Hastur Charm
abyssalcraft:hasturcharm:2, Hastur Charm
abyssalcraft:hasturcharm:3, Hastur Charm
abyssalcraft:jzaharcharm:0, J'zahar Charm
abyssalcraft:jzaharcharm:1, J'zahar Charm
abyssalcraft:jzaharcharm:2, J'zahar Charm
abyssalcraft:jzaharcharm:3, J'zahar Charm
abyssalcraft:azathothcharm:0, Azathoth Charm
abyssalcraft:azathothcharm:1, Azathoth Charm
abyssalcraft:azathothcharm:2, Azathoth Charm
abyssalcraft:azathothcharm:3, Azathoth Charm
abyssalcraft:nyarlathotepcharm:0, Nyarlathotep Charm
abyssalcraft:nyarlathotepcharm:1, Nyarlathotep Charm
abyssalcraft:nyarlathotepcharm:2, Nyarlathotep Charm
abyssalcraft:nyarlathotepcharm:3, Nyarlathotep Charm
abyssalcraft:yogsothothcharm:0, Yog-Sothoth Charm
abyssalcraft:yogsothothcharm:1, Yog-Sothoth Charm
abyssalcraft:yogsothothcharm:2, Yog-Sothoth Charm
abyssalcraft:yogsothothcharm:3, Yog-Sothoth Charm
abyssalcraft:shubniggurathcharm:0, Shub-Niggurath Charm
abyssalcraft:shubniggurathcharm:1, Shub-Niggurath Charm
abyssalcraft:shubniggurathcharm:2, Shub-Niggurath Charm
abyssalcraft:shubniggurathcharm:3, Shub-Niggurath Charm
abyssalcraft:hasturcoin, Hastur Engraved Coin
abyssalcraft:azathothcoin, Azathoth Engraved Coin
abyssalcraft:nyarlathotepcoin, Nyarlathotep Engraved Coin
abyssalcraft:yogsothothcoin, Yog-Sothoth Engraved Coin
abyssalcraft:shubniggurathcoin, Shub-Niggurath Engraved Coin
abyssalcraft:engraving_hastur, Hastur Coin Engraving
abyssalcraft:engraving_azathoth, Azathoth Coin Engraving
abyssalcraft:engraving_nyarlathotep, Nyarlathotep Coin Engraving
abyssalcraft:engraving_yogsothoth, Yog-Sothoth Coin Engraving
abyssalcraft:engraving_shubniggurath, Shub-Niggurath Coin Engraving
abyssalcraft:gatekeeperessence, Essence of The Gatekeeper
Baubles:Ring:0, Miner's Ring
Thaumcraft:WandCasting:0, Iron Capped Wooden Wand
Thaumcraft:WandCasting:9, Gold Banded Greatwood Wand
Thaumcraft:WandCasting:54, Thaumium Bossed Silverwood Wand
Thaumcraft:WandCasting:128, Thaumium Bossed Silverwood Scepter
Thaumcraft:WandCap:0, Iron Cap
Thaumcraft:WandCap:1, Gold Cap
Thaumcraft:WandCap:2, Charged Thaumium Cap
Thaumcraft:WandCap:6, Inert Thaumium Cap
Thaumcraft:WandCap:7, Charged Void metal Cap
Thaumcraft:WandCap:8, Inert Void metal Cap
Thaumcraft:WandRod:0, Greatwood Rod
Thaumcraft:WandRod:1, Obsidian Rod
Thaumcraft:WandRod:2, Silverwood Rod
Thaumcraft:WandRod:3, Icy Rod
Thaumcraft:WandRod:4, Quartz Rod
Thaumcraft:WandRod:5, Reed Rod
Thaumcraft:WandRod:6, Blazing Rod
Thaumcraft:WandRod:7, Bone Rod
Thaumcraft:WandRod:50, Greatwood Staff Core
Thaumcraft:WandRod:51, Obsidian Staff Core
Thaumcraft:WandRod:52, Silverwood Staff Core
Thaumcraft:WandRod:53, Icy Staff Core
Thaumcraft:WandRod:54, Quartz Staff Core
Thaumcraft:WandRod:55, Reed Staff Core
Thaumcraft:WandRod:56, Blazing Staff Core
Thaumcraft:WandRod:57, Bone Staff Core
Thaumcraft:WandRod:100, Staff Core of the Primal
Thaumcraft:FocusPouch, Focus Pouch
Thaumcraft:FocusFire, Wand Focus: Fire
Thaumcraft:FocusShock, Wand Focus: Shock
Thaumcraft:FocusHellbat, Wand Focus: Nine Hells
Thaumcraft:FocusFrost, Wand Focus: Frost
Thaumcraft:FocusTrade, Wand Focus: Equal Trade 
Thaumcraft:FocusExcavation, Wand Focus: Excavation
Thaumcraft:FocusPortableHole, Wand Focus: Portable Hole
Thaumcraft:FocusPech, Wand Focus: Pech's Curse
Thaumcraft:FocusWarding, Wand Focus: Warding
Thaumcraft:FocusPrimal, Wand Focus: Primal
Thaumcraft:ItemEssence:0, Glass Phial
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemManaBean:0, Mana Bean
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemWispEssence:0, Ethereal Essence
Thaumcraft:ItemResource:0, Alumentum
Thaumcraft:ItemResource:1, Nitor
Thaumcraft:ItemResource:2, Thaumium Ingot
Thaumcraft:ItemResource:3, Quicksilver
Thaumcraft:ItemResource:4, Magic Tallow
Thaumcraft:ItemResource:6, Amber
Thaumcraft:ItemResource:7, Enchanted Fabric
Thaumcraft:ItemResource:8, Vis Filter
Thaumcraft:ItemResource:9, Knowledge Fragment
Thaumcraft:ItemResource:10, Mirrored Glass
Thaumcraft:ItemResource:11, Tainted Goo
Thaumcraft:ItemResource:12, Taint Tendril
Thaumcraft:ItemResource:13, Jar Label
Thaumcraft:ItemResource:14, Salis Mundus
Thaumcraft:ItemResource:15, Primal Charm
Thaumcraft:ItemResource:16, Void metal Ingot
Thaumcraft:ItemResource:17, Void Seed
Thaumcraft:ItemResource:18, Gold Coin
Thaumcraft:ItemShard:0, Air Shard
Thaumcraft:ItemShard:1, Fire Shard
Thaumcraft:ItemShard:2, Water Shard
Thaumcraft:ItemShard:3, Earth Shard
Thaumcraft:ItemShard:4, Order Shard
Thaumcraft:ItemShard:5, Entropy Shard
Thaumcraft:ItemShard:6, Balanced Shard
Thaumcraft:ItemResearchNotes:0, Research Notes
Thaumcraft:ItemInkwell, Scribing Tools
Thaumcraft:ItemThaumonomicon:0, Thaumonomicon
Thaumcraft:ItemThaumometer, Thaumometer
Thaumcraft:ItemGoggles, Goggles of Revealing
Thaumcraft:ItemHelmetThaumium, Thaumium Helm
Thaumcraft:ItemChestplateThaumium, Thaumium Chestplate
Thaumcraft:ItemLeggingsThaumium, Thaumium Leggings
Thaumcraft:ItemBootsThaumium, Thaumium Boots
